iter	Passed	Remaining
776	70213	20151
777	70305	20061
778	70395	19970
779	70479	19878
780	70567	19787
781	70657	19697
782	70750	19607
783	70840	19517
784	70931	19427
785	71021	19336
786	71114	19247
787	71208	19157
788	71297	19066
789	71397	18979
790	71494	18890
791	71585	18800
792	71673	18709
793	71758	18617
794	71852	18527
795	71944	18438
796	72035	18347
797	72131	18258
798	72226	18169
799	72316	18079
800	72414	17990
801	72512	17901
802	72603	17811
803	72692	17721
804	72784	17630
805	72873	17540
806	72963	17449
807	73050	17358
808	73141	17268
809	73229	17177
810	73321	17087
811	73414	16997
812	73507	16907
813	73595	16816
814	73682	16725
815	73768	16634
816	73863	16544
817	73958	16455
818	74045	16364
819	74137	16274
820	74231	16184
821	74324	16094
822	74408	16002
823	74498	15912
824	74596	15823
825	74690	15733
826	74774	15642
827	74869	15552
828	74963	15462
829	75056	15373
830	75146	15282
831	75241	15193
832	75341	15104
833	75427	15013
834	75521	14923
835	75613	14833
836	75704	14742
837	75794	14652
838	75881	14561
839	75965	14469
840	76053	14378
841	76149	14289
842	76234	14197
843	76317	14106
844	76410	14016
845	76496	13924
846	76592	13835
847	76681	13744
848	76770	13654
849	76864	13564
850	76950	13473
851	77031	13381
852	77123	13290
853	77214	13200
854	77301	13109
855	77390	13018
856	77477	12927
857	77570	12837
858	77664	12748
859	77758	12658
860	77843	12566
861	77927	12475
862	78017	12385
863	78109	12295
864	78196	12204
865	78280	12112
866	78372	12022
867	78465	11932
868	78549	11841
869	78637	11750
870	78721	11659
871	78814	11569
872	78903	11478
873	78986	11387
874	79074	11296
875	79157	11204
876	79244	11114
877	79335	11023
878	79418	10932
879	79506	10841
880	79595	10751
881	79682	10660
882	79768	10569
883	79857	10479
884	79952	10389
885	80038	10298
886	80128	10208
887	80218	10117
888	80302	10026
889	80396	9936
890	80487	9846
891	80577	9756
892	80664	9665
893	80747	9574
894	80838	9483
895	80934	9394
896	81022	9303
897	81107	9212
898	81197	9122
899	81289	9032
900	81377	8941
901	81466	8851
902	81551	8760
903	81639	8669
904	81731	8579
905	81822	8489
906	81908	8398
907	81995	8307
908	82087	8217
909	82181	8127
910	82264	8036
911	82352	7946
912	82440	7855
913	82522	7764
914	82611	7674
915	82699	7583
916	82793	7493
917	82880	7403
918	82971	7313
919	83062	7222
920	83154	7132
921	83247	7042
922	83339	6952
923	83428	6862
924	83522	6772
925	83609	6681
926	83695	6590
927	83783	6500
928	83874	6410
929	83960	6319
930	84052	6229
931	84141	6139
932	84233	6048
933	84326	5958
934	84416	5868
935	84501	5777
936	84583	5687
937	84678	5597
938	84774	5507
939	84859	5416
940	84947	5326
941	85037	5235
942	85130	5145
943	85217	5055
944	85306	4964
945	85400	4874
946	85487	4784
947	85574	4693
948	85664	4603
949	85754	4513
950	85842	4422
951	85933	4332
952	86018	4242
953	86111	4152
954	86203	4061
955	86298	3971
956	86385	3881
957	86474	3791
958	86557	3700
959	86646	3610
960	86732	3519
961	86831	3429
962	86929	3339
963	87010	3249
964	87100	3159
965	87184	3068
966	87270	2978
967	87356	2887
968	87453	2797
969	87543	2707
970	87629	2617
971	87718	2526
972	87809	2436
973	87900	2346
974	87989	2256
975	88079	2165
976	88164	2075
977	88255	1985
978	88345	1895
979	88439	1804
980	88530	1714
981	88623	1624
982	88711	1534
983	88803	1443
984	88893	1353
985	88980	1263
986	89072	1173
987	89162	1082
988	89249	992
989	89338	902
990	89424	812
991	89517	721
992	89614	631
993	89700	541
994	89786	451
995	89875	360
996	89958	270
997	90050	180
998	90141	90
999	90227	0
